effectsizeID;studyID;y;v;Author;Intervention_Type;Year;RoB;y0;Comment_y0;Direction_category;Diretion_describe;Instrument;Instrument_cat;Instrument_dik;Instrument_dik_string;Mean_age;Lowest_age;Highest_age;Ungdom13;No_sessions;Gender;Design;Intervent;CntrlVSIntv;AcceptMindfulness;InterventRandomizedN;InterventPreN;InterventPostN;InterventFlwUpN;Control;ControlRandomizedN;ControlPreN;ControlPostN;ControlFlwUpN;ITT;Domain;Informant;InformantOther;InterventPreM;InterventPreSD;ControlPreM;ControlPreSD;InterventPostM;InterventPostSD;ControlPostM;ControlPostSD;InterventFlwUpM;InterventFlwUpSD;ControlFlwUpM;ControlFlwUpSD;InterventEndringSD;ControlEndringSD;FlwUpTime;EStype;EStypeOther;Effect_endring_;Effect_endring_innad_Intervensjon;Effect_endring_innad_Control;Effect_post_adj_baseline;Effect_post_crude;stat_sig_05;ESlowCI;EShighCI;PTSD;DiagSpec;TreatEl;Accept;AffWorkMemTrain;AltActEmAvoid;AskNeed;AwareEmPhy;BehavActiv;duplicate;ChallNegAssump;CoachSkillVal;CognDis;CognFlex;CommSkillTrain;ComplMood;Dilemma;CopeStressBehav;Depress;SoluNotHurt;DiscDilemm;DiscSelfC;DiscChall;DistAlarm;Distract;Downreg;EmDysreg;EmMan;EncourTeachEm;EnhancEmRecogn;EstabCop;EstabRout;EvalConc;ExplorTemp;ExplorThought;ExposEm;FocusEat;FocusSleep;FocusMind;FollowRules;FuncAdapt;FysRelax;Restruct;IdentFeel;InterrAlarm;AvoidSelfHarm;BehavMod;PersFin;AssessGoal;AssistReg;DevelAct;Lifestyle;BalanceSchoolRecr;KeepFriend;MentHealthSkill;Mindful;MindfExerc;NormExp;OrgSkill;SkillTrain;PhysExerc;PractAwar;ProblSolvU;PsychEd;RecognOthFeel;RecognTrigg;RestructRat;SayNo;SelfEstW;SelfExplorMon;SelfMon;SelfShooth;SetGoal;SlowBreath;SocSkillTrain;SocSuppPR;StratManStrong;Stress;StressInoc;TakDist;TeachAlarmAdapt;TeachRecognTrigg;TeachCognFlex;TeachFamSupp;TrainThought;TrainBehavReg;TrainCognSkill;TrainEmRecogn;TrainPrevMal;UndDevTemp;Unspec;UpregPos;ValTrain;OLifestyle;OMindful;OOrgSkills;OParSkillsTr;OParSuppGr;OProblSolvSk;OPsyched;OSelfExMon;OSocSkillsTr;OStressMan;OTrBehavReg;OTrCognFlex;OTrEmRecDiff;OTrPrevMal;OTrALRM;studieTrim;Other_measure;Measure_short_post;Measure_mid_post;Indicated;sub_anxiety_depr;Behavior_problems;Identified;OCD;elementPTSD;Suicidal;Bipolar;BorderlinePD;Ext_problems;ODD;ADHD;Anxiety;Depression;D_clinicians;D_psychologists;D_PhD;D_para;D_professional;D_doc_student;D_computer;D_audio;Psychoeducation;Individual_therapy;Family_therapy;Family_skills;Telephone_coaching;Group_interaction;Instruction_1on1;Multifamily;Child_parent;Work_shop;Role_play_child;Invivo_coaching;Unstructured_pay;Homework;Homework_reviewed;Parental_obs;Peer_feedback_child;Observing_peers;Reward_based;Important_others;Watch_video;I_normal;I_intensive;Sessions_1;Sessions_2;Sessions_3;Sessions_4;Duration_individual;Duration_short;Duration_long;Home;Hospital;School;Service_agency;Residential_facilities;Info_material;Edu_material;Org_material;Diary;Web_based_app;Media_clipps;Computer_prog;Arts_activity;Videobased;Vignette_discussion;Bug_in_ear;Presentation;Feeling_board;Feeling_dictionary;Element_repeat;Feedback_performance;Peer_qritique;Self_monitoring;Ext_monitoring;Regulary_support;Practitioner_influence;Culturally_sensitive;Multicomponent;Flexible;Individualized;Imp_Reminders;Imp_Acess_web;Imp_aduit_feedback;Imp_fidelity_ext;Imp_fidelity_local;Imp_strucutred_manual;Emoreg_effectsize;Intern_effectsize;Ext_effectsize;Time_first_PM_months;Time_last_FU_months;ControlGroup;Emoreg_sig;Intern_sig;Ext_sig
1;2;0,210142319;0,056660191;Bentley;5;2017;3;-0,210142319; ;2; Høyere score = experiential Avoidance = assosiert med dårligere utfall;MEAQ multidimensional experiantal avoidance questionnaire;2;2;no;18,25;18; ;2; ;Both boys and girls;1;Single session UP;1;1;68;68;36; ;assessment only;70;70;35; ;3;1;2;Alle var over 18 år;198,57;30,07;201,43;36,72;190,82;30,87;197,57;33,36; ; ; ; ; ; ; ;8;Hedges D; ; ; ; ;-0,21;2;-0,67;0,26;no;no;no;no;no;yes;no;yes;no; ;no;no;no;yes;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;yes;no;no;no;no;no;yes;no;no;no;no;no;no;no;no;no;no;no;no;no;no;yes;yes;no;no;no;no;no;no;yes;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;yes;no;no;no;no;no;no;no;no;no;no;no;yes;no;no;no;no;yes;no;no;no;no;yes;yes;yes;no;2;Present;Present;Not present;Present;Present;Not present;Not present;Not present;Not present;Not present;Not present;Not present;Not present;Not present;Not present;Not present;Not present;Not present;Not present;Not present;Not present;Not present;Present;Not present;Not present;Present;Not present;Not present;Not present;Not present;Present;Not present;Not present;Not present;Present;Not present;Not present;Not present;Not present;Not present;Not present;Not present;Not present;Not present;Not present;Not present;Not present;Not present;Present;Not present;Not present;Not present;Not present;Present;Not present;Not present;Not present;Not present;Not present;Not present;Present;Present;Not present;Not present;Not present;Present;Not present;Not present;Not present;Not present;Not present;Not present;Not present;Not present;Not present;Not present;Not present;Not present;Not present;Not present;Not present;Not present;Present;Not present;Not present;Present;Present;Not present;Not present;Not present;Not present;.;.;.;1;1;Waitinglist Control;Not Significant;Not Significant;.
2;2;0,260925876;0,056828659;Bentley;5;2017;3;0,260925876; ;1;Høyere score = mer kognitiv reappraisal = assosiert med bedre utfall;ERQ Emotion Regulation Questionnaire - reappraisal;5;1;yes;18,25;18; ;2; ;Both boys and girls;1;Single session UP;1;1;68;68;36; ;assessment only;70;70;35; ;3;1;2;Alle var over 18 år;30,85;5,56;30,23;6,38;31,83;5,18;30,43;5,55; ; ; ; ; ; ; ;8;Hedges D; ; ; ; ;0,26;2;-0,21;0,73;no;no;no;no;no;yes;no;yes;no; ;no;no;no;yes;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;yes;no;no;no;no;no;yes;no;no;no;no;no;no;no;no;no;no;no;no;no;no;yes;yes;no;no;no;no;no;no;yes;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;yes;no;no;no;no;no;no;no;no;no;no;no;yes;no;no;no;no;yes;no;no;no;no;yes;yes;yes;no;2;Present;Present;Not present;Present;Present;Not present;Not present;Not present;Not present;Not present;Not present;Not present;Not present;Not present;Not present;Not present;Not present;Not present;Not present;Not present;Not present;Not present;Present;Not present;Not present;Present;Not present;Not present;Not present;Not present;Present;Not present;Not present;Not present;Present;Not present;Not present;Not present;Not present;Not present;Not present;Not present;Not present;Not present;Not present;Not present;Not present;Not present;Present;Not present;Not present;Not present;Not present;Present;Not present;Not present;Not present;Not present;Not present;Not present;Present;Present;Not present;Not present;Not present;Present;Not present;Not present;Not present;Not present;Not present;Not present;Not present;Not present;Not present;Not present;Not present;Not present;Not present;Not present;Not present;Not present;Present;Not present;Not present;Present;Present;Not present;Not present;Not present;Not present;.;.;.;1;1;Waitinglist Control;Not Significant;Not Significant;.
3;3;-0,060644199;0,010118294;Betancourt;1;2016;1;0,060644199; ;2;Høyere score = greater impairment or dysregulation;DERS - emotion regulation;17;2;no;18;15;24;2;1;Both boys and girls;1;YRI Youth Readiness Intervention;1;0;222;216;205;186;Waitlist control group;214;207;191;177;1;1;2; ;3,42;0,29;3,4;0,29;3,56;0,38;3,41;3,54;0,36;3,53;0,42; ; ; ;6;2; ; ; ; ; ;0,31;1;0,026;0,19;no;yes;no;no;no;no;no;no;yes; ;no;no;no;no;yes;no;no;no;no;no;no;no;no;no;no;no;no;yes;no;no;yes;no;no;no;no;no;no;no;no;no;yes;yes;no;no;no;no;no;no;ye;no;no;no;no;no;no;no;no;no;no;no;no;no;yes;yes;no;no;no;no;no;no;no;no;yes;yes;yes;no;no;no;no;no;no;no;no;no;no;no;yes;yes;no;no;no;no;no;no;no;yes;no;no;yes;yes;no;yes;no;yes;yes;yes;yes;no;38;Present;Present;Present;Present;Not present;Not present;Not present;Not present;Not present;Not present;Not present;Not present;Not present;Not present;Not present;Not present;Not present;Not present;Not present;Not present;Present;Not present;Not present;Not present;Not present;Present;Not present;Not present;Not present;Not present;Present;Not present;Not present;Not present;Not present;Present;Not present;Not present;Not present;Not present;Not present;Not present;Not present;Not present;Present;Not present;Present;Not present;Not present;Present;Not present;Not present;Not present;Present;Not present;Not present;Not present;Not present;Present;Not present;Not present;Not present;Not present;Not present;Not present;Not present;Not present;Not present;Not present;Present;Not present;Not present;Not present;Not present;Not present;Not present;Not present;Not present;Not present;Not present;Not present;Present;Present;Present;Not present;Not present;Not present;Not present;Not present;Present;Present;.;.;.;0;6;Waitinglist Control;Significant;Not measured;Not measured
9;5;0,13;0,032168268;Cook;6;2019;2;-0,13;sd baseline & callkul;2;Higher scores indicate higher levels of worry;PSWQ: Penn State Worry Questionnaire.;7;2;no; ;18;24;2; ;Both boys and girls;1;guided Web-based RFCBT (i-RFCBT);1;1;82;82;59;50;Waitlist control;77;77;66;63;1;1;2; ;62;9,5;61,9;9;57,27; ;58,45; ;54,81; ;58,11; ; ; ;15;8;Hazard Rat; ; ; ;-1,18; ;2;-4,46;2,11;no;no;no;no;no;no;no;no;no; ;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;yes;no;no;no;no;no;no;no;no;no;no;yes;no;no;no;no;no;no;ye;no;no;no;no;no;no;no;no;no;no;no;no;no;no;yes;no;yes;no;no;no;no;yes;no;yes;no;no;no;no;no;no;no;no;no;no;no;no;ye;no;no;no;no;no;no;no;no;no;yes;no;no;no;yes;yes;no;no;yes;no;no;no;yes;30;Present;Present;Present;Present;Present;Not present;Not present;Not present;Not present;Not present;Not present;Not present;Not present;Not present;Not present;Not present;Not present;Not present;Not present;Not present;Not present;Not present;Not present;Present;Not present;Present;Not present;Not present;Not present;Not present;Not present;Present;Not present;Not present;Not present;Not present;Not present;Not present;Not present;Not present;Not present;Not present;Not present;Not present;Not present;Not present;Present;Not present;Not present;Not present;Present;Present;Present;Present;Not present;Present;Not present;Not present;Not present;Not present;Not present;Not present;Not present;Present;Present;Present;Not present;Not present;Present;Not present;Not present;Not present;Not present;Not present;Not present;Present;Not present;Present;Present;Not present;Not present;Not present;Present;Not present;Not present;Present;Present;Not present;Not present;Not present;Not present;.;.;.;.;.;Waitinglist Control;its complicated - more than one measure of emoreg;Not Significant;Not measured
10;5;0,36;0,032619068;Cook;6;2019;2;-0,36;sd baseline & callkul;2;Higher scores indicate higher levels of rumination; RRS: Ruminative Response Scale;6;2;no; ;18;24;2; ;Both boys and girls;1;guided Web-based RFCBT (i-RFCBT);1;1;82;82;59;50;Waitlist control;77;77;66;63;1;1;2; ;49,8;10,6;47,9;11,1;44,34; ;48,21; ;46,15; ;44,65; ; ; ;15;8;Hazard Rat; ; ; ;-3,87; ;1;-7,53;-0,21;no;no;no;no;no;no;no;no;no; ;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;yes;no;no;no;no;no;no;no;no;no;no;yes;no;no;no;no;no;no;ye;no;no;no;no;no;no;no;no;no;no;no;no;no;no;yes;no;yes;no;no;no;no;yes;no;yes;no;no;no;no;no;no;no;no;no;no;no;no;ye;no;no;no;no;no;no;no;no;no;yes;no;no;no;yes;yes;no;no;yes;no;no;no;yes;30;Present;Present;Present;Present;Present;Not present;Not present;Not present;Not present;Not present;Not present;Not present;Not present;Not present;Not present;Not present;Not present;Not present;Not present;Not present;Not present;Not present;Not present;Present;Not present;Present;Not present;Not present;Not present;Not present;Not present;Present;Not present;Not present;Not present;Not present;Not present;Not present;Not present;Not present;Not present;Not present;Not present;Not present;Not present;Not present;Present;Not present;Not present;Not present;Present;Present;Present;Present;Not present;Present;Not present;Not present;Not present;Not present;Not present;Not present;Not present;Present;Present;Present;Not present;Not present;Present;Not present;Not present;Not present;Not present;Not present;Not present;Present;Not present;Present;Present;Not present;Not present;Not present;Present;Not present;Not present;Present;Present;Not present;Not present;Not present;Not present;.;.;.;.;.;Waitinglist Control;its complicated - more than one measure of emoreg;Not Significant;Not measured
11;5;0,19;0,032842123;Cook;6;2019;2;-0,19;sd baseline & callkul;2;higher scores indicating higher levels of worry;PSWQ: Penn State Worry Questionnaire.;7;2;no; ;18;24;2; ;Both boys and girls;2;unguided Web-based RFCBT (i-RFCBT);1;1;76;76;57;48;Waitlist control;77;77;66;63;1;1;2; ;60,3;10,5;61,9;9;55,77; ;57,6; ;53,78; ;57,56; ; ; ;15;8;Hazard Rat; ; ; ;-1,84; ; ;-5,28;1,61;no;no;no;no;no;no;no;no;no; ;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;yes;no;no;no;no;no;no;no;no;no;no;yes;no;no;no;no;no;no;ye;no;no;no;no;no;no;no;no;no;no;no;no;no;no;yes;no;yes;no;no;no;no;yes;no;yes;no;no;no;no;no;no;no;no;no;no;no;no;ye;no;no;no;no;no;no;no;no;no;yes;no;no;no;yes;yes;no;no;yes;no;no;no;yes;30;Present;Present;Present;Present;Present;Not present;Not present;Not present;Not present;Not present;Not present;Not present;Not present;Not present;Not present;Not present;Not present;Not present;Not present;Not present;Not present;Not present;Not present;Present;Not present;Present;Not present;Not present;Not present;Not present;Not present;Not present;Not present;Not present;Not present;Not present;Not present;Not present;Not present;Not present;Not present;Not present;Not present;Not present;Not present;Not present;Not present;Not present;Not present;Not present;Present;Present;Present;Present;Not present;Present;Not present;Not present;Not present;Not present;Not present;Not present;Not present;Present;Present;Present;Not present;Not present;Present;Not present;Not present;Not present;Not present;Not present;Not present;Present;Not present;Present;Not present;Not present;Not present;Not present;Present;Not present;Not present;Present;Present;Not present;Not present;Not present;Not present;.;.;.;.;.;Waitinglist Control;its complicated - more than one measure of emoreg;Not Significant;Not measured
12;5;0,23;0,032910415;Cook;6;2019;2;-0,23;sd baseline & callkul;2;Higher scores indicate higher levels of rumination; RRS: Ruminative Response Scale;6;2;no; ;18;24;2; ;Both boys and girls;2;unguided Web-based RFCBT (i-RFCBT);1;1;76;76;57;48;Waitlist control;77;77;66;63;1;1;2; ;47,2;10,7;47,9;11,1;44,47; ;47,01; ;42,07; ;43,85; ; ; ;15;8;Hazard Rat; ; ; ;-2,54; ; ;-6,08;1,01;no;no;no;no;no;no;no;no;no; ;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;yes;no;no;no;no;no;no;no;no;no;no;yes;no;no;no;no;no;no;ye;no;no;no;no;no;no;no;no;no;no;no;no;no;no;yes;no;yes;no;no;no;no;yes;no;yes;no;no;no;no;no;no;no;no;no;no;no;no;ye;no;no;no;no;no;no;no;no;no;yes;no;no;no;yes;yes;no;no;yes;no;no;no;yes;30;Present;Present;Present;Present;Present;Not present;Not present;Not present;Not present;Not present;Not present;Not present;Not present;Not present;Not present;Not present;Not present;Not present;Not present;Not present;Not present;Not present;Not present;Present;Not present;Present;Not present;Not present;Not present;Not present;Not present;Not present;Not present;Not present;Not present;Not present;Not present;Not present;Not present;Not present;Not present;Not present;Not present;Not present;Not present;Not present;Not present;Not present;Not present;Not present;Present;Present;Present;Present;Not present;Present;Not present;Not present;Not present;Not present;Not present;Not present;Not present;Present;Present;Present;Not present;Not present;Present;Not present;Not present;Not present;Not present;Not present;Not present;Present;Not present;Present;Not present;Not present;Not present;Not present;Present;Not present;Not present;Present;Present;Not present;Not present;Not present;Not present;.;.;.;.;.;Waitinglist Control;its complicated - more than one measure of emoreg;Not Significant;Not measured
13;6;0,189326895;0,126050269;Cotton;7;2020;2;-0,189326895; ;2;Higher scores are believed to reflect dysregulation;Emotional lability (ERC);11;2;no;13,6;9;18;2;1;Both boys and girls;3;Mindfulness-Based Cognitive Therapy for Chil- dren (MBCT-C);1;1;24;24;17; ;Waitlist control;24;19;15; ;3;1;1; ;29,7;6,6;31,8;6,2;28,5;6,1;29,7;6,6; ; ; ; ; ; ; ;3; ; ;-0,22;-0,17; ;-0,06;2; ; ;no;no;no;no;no;no;no;no;no; ;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;yes;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;yes;no;no;no;no;yes;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;yes;no;no;no;no;no;no;no;no;no;no;yes;no;no;31;Present;Present;Not present;Not present;Not present;Not present;Present;Not present;Not present;Not present;Not present;Not present;Not present;Not present;Not present;Present;Not present;Not present;Not present;Not present;Not present;Present;Not present;Not present;Not present;Not present;Not present;Not present;Not present;Not present;Present;Not present;Not present;Not present;Not present;Not present;Not present;Not present;Not present;Not present;Not present;Not present;Not present;Not present;Not present;Not present;Present;Not present;Not present;Present;Not present;Not present;Not present;Present;Not present;Not present;Not present;Not present;Not present;Not present;Not present;Not present;Not present;Not present;Not present;Not present;Not present;Not present;Not present;Not present;Not present;Not present;Not present;Not present;Not present;Not present;Not present;Not present;Not present;Not present;Not present;Not present;Not present;Not present;Not present;Not present;Not present;Not present;Not present;Present;Not present;.;.;.;0;0;Waitinglist Control;Not Significant;Not Significant;Not measured
14;6;-0,10028925;0,125647351;Cotton;7;2020;2;-0,10028925; ;1;Higher score on this factor is believed to indicate adaptive emotion regualtion skills;Emotion regulation (ERC);12;1;yes;13,6;9;18;2;1;Both boys and girls;3;Mindfulness-Based Cognitive Therapy for Chil- dren (MBCT-C);1;1;24;24;17; ;Waitlist control;24;19;15; ;3;1;1; ;24,3;4,6;23,8;4,7;23,8;5,3;24,3;4,6; ; ; ; ; ; ; ;3; ; ;-0,04;0,12; ;-0,09;2; ; ;no;no;no;no;no;no;no;no;no; ;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;yes;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;yes;no;no;no;no;yes;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;yes;no;no;no;no;no;no;no;no;no;no;yes;no;no;31;Present;Present;Not present;Not present;Not present;Not present;Present;Not present;Not present;Not present;Not present;Not present;Not present;Not present;Not present;Present;Not present;Not present;Not present;Not present;Not present;Present;Not present;Not present;Not present;Not present;Not present;Not present;Not present;Not present;Present;Not present;Not present;Not present;Not present;Not present;Not present;Not present;Not present;Not present;Not present;Not present;Not present;Not present;Not present;Not present;Present;Not present;Not present;Present;Not present;Not present;Not present;Present;Not present;Not present;Not present;Not present;Not present;Not present;Not present;Not present;Not present;Not present;Not present;Not present;Not present;Not present;Not present;Not present;Not present;Not present;Not present;Not present;Not present;Not present;Not present;Not present;Not present;Not present;Not present;Not present;Not present;Not present;Not present;Not present;Not present;Not present;Not present;Present;Not present;.;.;.;0;0;Waitinglist Control;Not Significant;Not Significant;Not measured
15;6;0,270766747;0,126635737;Cotton;7;2020;2;0,270766747; ;1;Higher scores reflect higher levels of mindfulness.;Mindfulness (CAMM);4;2;no;13,6;9;18;2;1;Both boys and girls;3;Mindfulness-Based Cognitive Therapy for Chil- dren (MBCT-C);1;1;24;24;17; ;Waitlist control;24;19;15; ;3;1;2; ;24,6;9;20,9;9,9;27,2;10,1;24,6;9; ; ; ; ; ; ; ;3; ; ;0,19;0,58; ;-0,13;2; ; ;no;no;no;no;no;no;no;no;no; ;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;yes;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;yes;no;no;no;no;yes;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;yes;no;no;no;no;no;no;no;no;no;no;yes;no;no;31;Present;Present;Not present;Not present;Not present;Not present;Present;Not present;Not present;Not present;Not present;Not present;Not present;Not present;Not present;Present;Not present;Not present;Not present;Not present;Not present;Present;Not present;Not present;Not present;Not present;Not present;Not present;Not present;Not present;Present;Not present;Not present;Not present;Not present;Not present;Not present;Not present;Not present;Not present;Not present;Not present;Not present;Not present;Not present;Not present;Present;Not present;Not present;Present;Not present;Not present;Not present;Present;Not present;Not present;Not present;Not present;Not present;Not present;Not present;Not present;Not present;Not present;Not present;Not present;Not present;Not present;Not present;Not present;Not present;Not present;Not present;Not present;Not present;Not present;Not present;Not present;Not present;Not present;Not present;Not present;Not present;Not present;Not present;Not present;Not present;Not present;Not present;Present;Not present;.;.;.;0;0;Waitinglist Control;Not Significant;Not Significant;Not measured
